ID,Notaatio,Luokan nimi suomeksi,Luokan nimi ruotsiksi,Luokan nimi englanniksi,Kuvaus suomeksi,Kuvaus ruotsiksi,Kuvaus englanniksi
v1011,P2.4,Kiinteistöt,Fastigheter,Properties,Tässä alapalveluluokassa käsitellään palvelujen näkökulmasta kiinteistötietoja sekä kiinteistöjen kauppaa ja verotusta.,I denna underservicegrupp behandlas ur servicesynvinkeln fastighetsuppgifter samt fastighetsaffärer och -beskattning.,This service subclass contains property information as well as the trade and taxation of properties from the service point of view.
v1012,P2.5,Toimitilat,Kontorslokaler,Premises,Tähän palvelualaluokkaan kuuluvat yritysten toimitilojen kuten liikehuoneistojen tai varastojen hankintaan ja vuokraukseen liittyvät palvelut.,Till denna serviceundergrupp hör tjänster i anslutning till anskaffning och hyrning av företagens kontorslokaler såsom affärslokaler eller lagerutrymmen.,"This service subclass contains services related to purchasing and renting facilities for companies, including business premises or warehouses."
v1013,P3,Perheiden palvelut,Tjänster för familjer,Services for families,"Tässä palveluluokassa käsitellään lapsiperheen palveluja, jotka pääosin kattavat ajanjakson raskausajasta nuoren täysi-ikäiseksi tulemiseen. Palveluluokan sisällössä perheen palveluja ja tilanteita tarkastellaan useiden toimijoiden, tilanteiden ja näkökulmien kautta.","I denna servicegrupp behandlas tjänster för barnfamiljer, som i huvudsak omfattar perioden från graviditeten till att en ung person blir myndig. I innehållet i servicegruppen granskas tjänsterna för familjer och situationer ofta via aktörer, situationer och synvinklar.","This service class contains services for families with children, mainly covering the period from pregnancy until a young person turns 18. In the contents of this service class, family services are examined from the perspective of different actors, situations and viewpoints."
v1014,P3.1,Parisuhde,Parförhållande,Intimate relationship,"Tässä alapalveluluokassa käsitellään avioliittoa, avoliittoa ja rekisteröityä parisuhdetta, eri suhdemuotojen lakisääteisiä velvoitteita ja oikeuksia, suhteeseen mahdollisesti liittyviä juridisia sopimuksia sekä suhteen purkamisen prosesseja.","I denna serviceundergrupp behandlas äktenskap, samboförhållande och registrerat partnerskap, lagstadgade skyldigheter och rättigheter för olika förhållandeformer, eventuella juridiska avtal i anslutning till förhållandet samt processer för att upplösa förhållandet.","This service subclass concerns marriages, cohabitation and registered partnerships, the statutory duties and rights that are part of different types of relationships, any legal agreements that might be associated with a relationship, and the processes of dissolving a relationship."
v1015,P3.2,Lapsen saaminen,Att få barn,Having a child,Tässä alapalveluluokassa käsitellään raskausajan ja lapsen vauva-ajan palveluja ja taloudellisia tukia perheelle. Tähän alaluokkaan kuuluvat myös lapsettomuushoidot ja adoptiot sekä nimen antamiseen liittyvät asiat.,I denna serviceundergrupp behandlas tjänster för graviditetstiden och barnets babytid och ekonomiska bidrag för familjen. Till denna serviceundergrupp hör också fertilitetsbehandlingar och adoptioner samt ärenden i samband med namngivning.,This service subclass contains services and financial support available for families during pregnancy and a child's infancy. It also includes fertility treatments and adoptions as well as issues related to naming a child.
v1016,P3.3,Isyyden vahvistaminen,Fastställande av faderskap,Confirmation of paternity,Tässä alapalveluluokassa käsitellään isyyden tunnustamiseen ja vahvistamiseen liittyviä menettelyjä ja velvoitteita.,I denna serviceundergrupp behandlas förfaranden och skyldigheter i anslutning till erkännande och fastställande av faderskap.,This service subclass contains procedures and obligations related to the acknowledgement and confirmation of paternity.
v1017,P3.4,Lasten päivähoito,Barndagvård,Day-care for children,"Tähän alapalveluluokkaan kuuluvat pienten lasten päivähoitoon liittyvät lapsen oikeudet, päivähoidon saamisen edellytykset, asiointipalvelut ja hakumenettelyt, erilaiset päivähoidon toteuttamismuodot ja palvelukanavat, hoidon maksut ja niihin liittyvät taloudelliset tuet.","Till denna serviceundergrupp hör barnets rättigheter i anslutning till dagvård för små barn, förutsättningar för dagvård, ärendehanteringstjänster och ansökningsförfaranden, olika genomföringsformer och servicekanaler för dagvård, vårdavgifter och bidrag i anslutning till dem.","This service subclass contains a child’s rights related to day-care for young children, eligibility criteria, e-services and application procedures associated with day-care, different forms and service channels of day-care provision, fees charged for day-care and financial support related to the fees."
v1018,P3.5,Perheasioiden sovittelu ja perheoikeus,Medling i familjeärenden och familjerätten,Family mediation and family law,"Tässä alapalveluluokassa käsitellään perheasioiden sovittelua palvelun sisällön ja tarkoituksen, lainmukaisuuden, erityisesti perheoikeuden, sekä kunnallisen tarjonnan ja saatavuuden kannoillta.","I denna serviceundergrupp behandlas medling i familjeärenden med tanke på serviceinnehållet och -syftet, lagenligheten, särskilt familjerätten samt det kommunala utbudet och tillgängligheten.","This service subclass contains mediation in family disputes from the perspectives of the content and purpose of the service, legality, especially in terms of family law, and offer and availability in municipalities."
v1019,P3.6,Lapsiperheiden sosiaalipalvelut,Socialtjänster för barnfamiljer,Social services for families with children,"Tässä alapalveluluokassa käsitellään erityisesti lapsiperheille suunnattuja taloudellisia tukia ja etuuksia sekä niitä koti- ja tukipalveluja, jotka eivät kuulu perheneuvonnan tai lastensuojelun piiriin.",I denna serviceundergrupp behandlas ekonomiska bidrag och förmåner särskilt för barnfamiljer samt de hem- och stödtjänster som inte omfattas av familjerådgivningen eller barnskyddet.,This service subclass contains financial subsidies and benefits targeted especially at families with children as well as home and support services that are not included in family counselling or child welfare.
v1020,P3.7,Kasvatus- ja perheneuvonta,Rådgivning i uppfostrings- och familjefrågor,Developmental and family counselling,"Tässä alapalveluluokassa käsitellään lapsiperheille, perheiden vanhemmille ja nuorille suunnattuja neuvontapalveluja.","I denna serviceundergrupp behandlas rådgivningstjänster för barnfamiljer, familjernas föräldrar och ungdomar.","This service subclass contains counselling services intended for families with young children, parents of families and young people."
v1021,P3.8,Lastensuojelu,Barnskydd,Child welfare,"Tässä alapalveluluokassa käsitellään palveluja, jotka liittyvät perheen kriisien ehkäisemiseen, lapsen tai nuoren kasvuympäristön turvallisuuteen ja erilaisiin sijaiskotiratkaisuihin.","I denna serviceundergrupp behandlas tjänster som ansluter sig till förebyggande av familjekriser, en trygg uppväxtmiljö för barn och ungdomar och olika fosterhemslösningar.","This service subclass contains services associated with preventing family crises, safety of the environment in which a child or a young person grows up, and different substitute care arrangements."
v1022,P3.9,Elatusapu,Underhåll,Child maintenance,Tässä alapalveluluokassa käsitellään sekä elatusvelvollisen maksamaa elatusapua että Kelan myöntämää elatustukea.,I denna serviceundergrupp behandlas både underhåll som betalas av den underhållsskyldiga och underhållsbidrag som beviljas av Fpa.,This service subclass contains both child maintenance paid by a person liable to pay child maintenance and child maintenance allowances granted by Kela.
v1023,P4,Sosiaalipalvelut,Socialtjänster,Social services,"Tässä palveluluokassa käsitellään sekä yleisiä että erityisryhmille suunnattuja sosiaalipalveluja, jotka on tarkoitettu kansalaisten arjen, asumisen ja toimeentulon tukemiseen.","I den här servicegruppen behandlas både allmänna socialtjänster och socialtjänster för specialgrupper, vilka avsetts som stöd för medborgarnas vardag, boende och försörjning.","This service class contains both general social services and those targeted at special groups to support citizens’ everyday life management, housing and incomes."
v1024,P4.1,Asumispalvelut,Boendetjänster,Housing services,"Tähän alapalveluluokkaan kuuluvat erityisesti ikääntyneiden ja vammaisten asunto- ja palveluasumisratkaisut (tuettu asuminen, palveluasuminen ja tehostettu palveluasuminen), niihin kuuluvat tuet sekä kotona käytettävät apu- ja tukivälineet. Tähän luokkaan eivät kuulu esimerkiksi koti- ja kotisairaanhoitopalvelut, jotka ovat omissa luokissaan.","Till denna serviceundergrupp hör bostads- och serviceboendelösningar särskilt för äldre och personer med nedsatt funktionsförmåga (subventionerat boende, serviceboende och effektiverat serviceboende), bidrag i samband med dessa samt hjälp- och stödmedel som används hemma. Till denna grupp hör inte t.ex. hem- och hemsjukvårdstjänster, som finns i sina egna grupper.","This service subclass contains especially housing and supported housing solutions for older people and the disabled (supported housing, sheltered housing and sheltered housing with 24-hour assistance), the associated benefits and assistive and support devices used at home. This class does not include home care and home nursing services, for example, which have their own classes."
v1025,P4.2,Vanhusten palvelut,Äldretjänster,Services for older people,"Tähän alapalveluluokkaan kuuluvat vanhusten muut kuin asumispalvelut, muun muassa kuntoutus-, kuljetus- ja ystäväpalvelut.","Till denna serviceundergrupp hör andra än boendetjänster, bl.a. rehabiliterings-, transport- och väntjänster för de äldre.","This service subclass contains services for older people, excluding housing services and including rehabilitation, transport and befriending services among other things."
v1026,P4.3,Kotihoito ja kotipalvelut,Hemvård och hemservice,Home care and home services,"Tähän alapalveluluokkaan kuuluvat erityisesti ikääntyneiden ja vammaisten kotihoitoon ja kotipalveluihin liittyvät palvelut, joilla tuetaan siivouksessa, henkilökohtaisessa hygieniassa, ruoanlaitossa jne. Tähän luokkaan eivät kuulu varsinaiset kotisairaanhoidon palvelut, jotka ovat omassa alapalveluluokassaan.","Till denna serviceundergrupp hör tjänster som ansluter sig särskilt till hemvård och hemservice för de äldre och personer med funktionsnedsättning och som ger stöd för städning, personlig hygien, matlagning osv. Till denna grupp hör inte egentliga hemsjukvårdstjänster, som finns i sin egen serviceundergrupp.","This service subclass contains especially services related to the home care of and home services for older people and persons with disabilities to provide assistance with cleaning, personal hygiene, cooking etc. The class excludes actual home nursing services, which have their own subclass."
v1027,P4.4,Vammaisten muut kuin asumis- ja kotipalvelut,Andra än boende- och hemservice för personer med funktionsnedsättning,Services for the disabled other than housing and home services,"Tähän alapalveluluokkaan kuuluvat vammaisten muut kuin asumispalvelut, muun muassa kuntoutus-, tulkkaus- ja kuljetuspalvelut.","Till denna serviceundergrupp hör andra än boendeservice, bl.a. rehabiliterings-, tolknings- och färdtjänster för personer med funktionsnedsättning.","This service subclass contains services for persons with disabilities, excluding housing services and including rehabilitation, interpretation and transport services."
v1028,P4.5,Henkilökohtaisen avustajan palvelut,Personlig assistans,Personal assistant services,"Tähän alapalveluluokkaan kuuluvat henkilökohtaisen avustajan saamisen edellytyksiin, kustannuksiin ja tehtäviin liittyvät asiat. Sekä kotona asuvan että palvelutalossa asuvan avustajapalvelut kuuluvat tähän luokkaan.","Till denna serviceundergrupp hör ärenden i anslutning till förutsättningar för att få personlig assistans, tjänstens kostnader och uppgifter. Personlig assistans för både den som bor hemma och för den som bor på ett servicehem hör till denna grupp.",This service subclass includes issues related to eligibility for and the costs and tasks of a personal assistant. The class includes personal assistant services for both those living at home and those living in residential services.
v1029,P4.6,Vammaisen tai ikääntyneen perhehoito,Familjevård för en person med nedsatt funktionsförmåga eller en äldre person,Family care for a person with disabilities or an older person,"Tähän alapalveluluokkaan kuuluvat erityisesti vammaisen tai ikääntyneenhenkilön perhehoitopalvelut, joihin sisältyvät muun muassa palvelujen järjestäminen, hoitosopimukset ja palvelun antajan koulutus.","Till denna serviceundergrupp hör familjevårdstjänster särskilt för personer med nedsatt funktionsförmågaeller en äldreperson och som omfattar bl.a. ordnande av tjänster, vårdavtal och utbildning för den som erbjuder tjänsterna.","In particular, this service subclass includes family care services for a person with disabilitiesor an older person,including the organisation of services, care agreements and training for service providers."
v1030,P4.7,Kehitysvammahuolto,Omsorgen om utvecklingsstörda,Care for persons with intellectual disabilities,"Tähän alapalveluluokkaan kuuluvat kehitysvammaisten palvelut, jotka kattavat oikeudet, eri kuntoutusmuodot, sosiaalisen tuen, asumisratkaisut ja oireisiin liittyvän erikoisterveydenhoidon.","Till denna serviceundergrupp hör tjänster för utvecklingsstörda, som omfattar rättigheter, olika rehabiliteringsformer, socialt stöd, boendelösningar och symtomanknuten specialiserad sjukvård.","This service subclass includes services for persons with intellectual disabilities that cover their rights, different forms of rehabilitation, social support, housing solutions and specialist medical care related to their symptoms."
v1031,P4.8,Työllistyjän taloudellinen tukeminen,Ekonomiskt stöd för sysselsättning,Financial support for jobseekers,"Tähän alapalveluluokkaan kuuluvat muun muassa työvoimakoulutukseen, työnhakuvalmennukseen, työttömän omaehtoiseen opiskeluun ja kuntouttavaan työtoimintaan liittyvät palvelut.","Till denna serviceundergrupp hör bl.a. tjänster i anslutning till arbetskraftsutbildning, jobbsökarträning, den arbetslösas frivilliga studier och arbetsverksamhet i rehabiliteringssyfte.","This service subclass includes services related to labour force training, coaching for jobseekers, an unemployed person’s independent studies and rehabilitating work activities."
v1032,P4.9,Koulu- ja opiskelijahuollon sosiaalipalvelut,Socialtjänster för skol- och studerandevård,Pupil and student welfare social services,"Tähän alapalveluluokkaan kuuluvat koululaisille ja kokopäivisille opiskelijoille tarkoitetut sosiaalipalvelut kuten koulukuraattorin palvelut sekä toisen ja korkea-asteen opiskelijoille suunnatut arjessa pärjäämistä tukevat palvelut, kuten vertaistukiryhmät ja neuvontapalvelut, jotka eivät ole terveyden- tai sairaanhoidon palveluja.",Till denna underservicegrupp hör socialtjänster som är avsedda för skolelever och studeranden på heltid såsom skolkuratortjänster samt tjänster som stöder studeranden inom andra gradens utbildning och yrkesutbildning på högre nivå att klara sig i vardagen. Sådana är t.ex. kamratstöd och rådgivningstjänster som inte är hälso- eller sjukvårdstjänster.,"This service subclass contains social services intended for pupils and full-time students, including a school social worker’s services and services targeted at secondary and tertiary level students that support coping with everyday life, such as peer support groups and advisory services that are not health or medical care services."
v1033,P4.10,Toimeentulotuki,Inkomststöd,Social assistance,"Tässä alapalveluluokassa käsitellään toimeentulotukeen liittyviä asioita kuten tuen eri muotoja, saamisen edellytyksiä, tuen laskennan perusteita ja hakumenettelyjä.","I denna serviceundergrupp behandlas ärenden i samband med inkomststöd, t.ex. olika stödformer, förutsättningar för beviljande, grunder för uträkning av stöd och ansökningsförfaranden.","This service subclass contains issues related to social assistance, including the different forms of assistance, eligibility criteria, the grounds for calculating assistance amounts and application procedures."
v1034,P4.11,Kotouttaminen,Integration,Integration,"Tähän alapalveluluokkaan kuuluvat ensisijaisesti palvelut, jotka liittyvät kotoutumisen edistämistä koskevaan lainsäädääntöön. Näitä ovat muun muassa kielikurssit, kotoutumiskoulutus, työmarkkinapalvelut, alaikäisten maahanmuutajien tukeminen, ja niin edelleen.","Till denna serviceundergrupp hör i första hand tjänster som gäller lagstiftningen om främjande av integration. Sådana är bl.a. språkkurser, integrationsutbildning, arbetskraftstjänster, stöd för minderåriga invandrare osv.","This service subclass primarily contains services associated with the legislation on promoting the integration of immigrants. They include language courses, integration training, labour market services, support for minor immigrants etc."
v1035,P4.12,Sosiaalipalvelujen vertais- ja vapaaehtoistoiminta,Stöd av likställda och frivilligverksamhet inom socialtjänsterna,Peer and voluntary activities in social services,"Tähän alapalveluluokkaan kuuluvat asiakkaalle sosiaalipalveluna annettava vertaistukitoiminta sekä muut vapaaehtoistoimintaan tukeutuvat sosiaalipalvelut. Vertaistukitoiminta on yksilölle tai ryhmälle annettava sosiaalipalvelu, jossa sosiaalihuollon asiakas saa tukea ja ohjausta sellaisilta ihmisiltä, joilla on samanlainen elämäntilanne tai samanlaisia, omakohtaisia kokemuksia. Vertaistukeen perustuvaa palvelua annetaan muun muassa erityistä tukea tarvitsevalle lapselle tai hänen perheelleen lapsen terveyden tai kehityksen turvaamiseksi. Muista sosiaalipalveluista esimerkiksi tukisuhdetoiminta ja liikkumista tukeva palvelu voidaan toteuttaa vapaaehtoistoiminnan avulla.","Till denna servicearbetsgrupp hör stöd av likställda som erbjuds klienten som socialtjänst samt övriga socialtjänster som stöder sig på frivilligverksamhet. Verksamheten med stöd av likställda är en socialtjänst som erbjuds en individ eller en grupp, där en klient hos socialtjänsten får stöd och handledning av människor i en liknande livssituation eller som har likadana personliga erfarenheter. Service som bygger på stöd av likställda erbjuds bl.a. för ett barn som behöver specialstöd eller dennes familj för att trygga barnets hälsa eller utveckling. Av övriga socialtjänster kan t.ex. stödförhållandeverksamhet och tjänster som stöder rörlighet genomföras med hjälp av frivilligverksamhet.","This service subclass contains peer activities provided as a social service for a client as well as other social services relying on voluntary work. Peer support activities are a social service provided for an individual or a group where the social welfare client receives support and guidance from persons in a similar life situation or with similar personal experiences. For example, services based on peer support are provided for a child in need of special support or their families in order to safeguard the child’s health or development. Of other social services, for example support person activities and a service that supports mobility may be provided as voluntary activities."
v1036,P4.13,Sosiaalipalvelujen neuvonta- ja ohjauspalvelut,Socialtjänsternas rådgivnings- och handledningstjänster,Social service advisory and guidance services,"Tähän alapalveluluokkaan kuuluu kansalaisille annettava sosiaalipalveluja koskeva yleinen neuvonta ja ohjaus sekä sosiaalihuollon asiakkaiden tukeminen sosiaalipalveluja koskevissa, esimerkiksi oikeusturvaan ja asiakkuuteen liittyvissä kysymyksissä. Esimerkiksi sosiaaliasiamiehen toiminta kuuluu tähän luokkaan.","Till denna serviceundergrupp hör allmän rådgivning och handledning gällande socialtjänster som erbjuds medborgarna samt stöd till socialtjänstklienter i frågor som gäller socialtjänster, t.ex. rättsskydd och kundförhållande. Till exempel socialombudsmannens verksamhet hör till denna grupp.","This service subclass includes general advice and guidance on social services provided for citizens as well as support for social welfare clients in issues related to social services, including legal protection and client relationships. For example, the activities of a social services ombudsman belong to this class."
v1037,P4.14,Sosiaalipalvelujen oheis- ja tukipalvelut,Socialtjänsternas sido- och stödtjänster,Social service auxiliary and support services,"Tähän alapalveluluokkaan kuuluvat sosiaalipalveluja täydentävät palvelut, joiden avulla tuetaan palveluyksikön perustehtävää, asiakkaan arkea ja sosiaalipalvelujen saavutettavuutta. Tällaisia ovat esim. ateriapalvelut, vaatehuoltopalvelut, siivouspalvelut, sosiaalista kanssakäymistä edistävät palvelut ja palveluyksikön asiakkaille tarkoitetut sähköiset palvelukanavat.","Till denna serviceundergrupp hör tjänster som kompletterar socialtjänster, med hjälp av vilka man stöder serviceenhetens grunduppgift, kundens vardag och socialtjänsternas tillgänglighet. Sådana är bl.a. måltidstjänster, klädvårdstjänster, städningstjänster, tjänster som främjar social växelverkan och elektroniska servicekanaler för serviceenhetens klienter.","This service subclass contains services complementing social services that help to support the basic tasks of a service unit, a client's everyday life and the accessibility of social services. They include meal, clothing care and cleaning services, services that promote social interaction, and e-service channels intended for service unit clients."
v1038,P5,"Terveydenhuolto, sairaanhoito ja ravitsemus","Hälso- och sjukvård, näring","Health and medical care, nutrition",Tässä palveluluokassa käsitellään sekä yleisiä että tietyille ryhmille suunnattuja terveyden- ja sairaanhoidon palveluja. Luokkaan kuuluvat myös lääkkeisiin ja ravitsemukseen liittyvät palvelut sekä kuntoutus terveydenhoidollisen ja lääkinnällisen kuntoutuksen osalta.,I denna serviceundergrupp behandlas både allmänna och hälso- och sjukvårdstjänster för vissa grupper. Till gruppen hör också tjänster i anslutning till läkemedel och näring samt rehabilitering för hälso- och sjukvårdens och medicinska rehabiliteringens del.,"This service class contains health and medical care services, both general services and those intended for specific groups. It also includes services associated with medicines and nutrition, as well as rehabilitation for the part of health care related and medical rehabilitation."
v1039,P5.1,Perusterveydenhuolto,Primärvård,Primary health care,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka sijoittuvat perusterveydenhuollon määritelmään: ""Perusterveydenhuolto edistää, tukee ja ylläpitää väestön terveyttä, hyvinvointia ja toimintakykyä tarjoamalla terveyden- ja sairaanhoidon palveluita. Pääasialliset palvelumuodot ovat kuntalaisten käynnit eriasteisten hoitajien ja lääkäreiden vastaanotoilla ja ympärivuorokautinen sairaanhoito terveyskeskuksessa.
 Toiminta perustuu pääosin kunnallista terveydenhuoltoa säätelevään lainsäädäntöön.""","Denna serviceundergrupp omfattar tjänster som svarar mot definitionen av primärvård: ""Primärvården främjar, stöder och upprätthåller befolkningens hälsa, välfärd och funktionsförmåga genom att erbjuda hälso- och sjukvårdstjänster. Huvudsakliga serviceformer är kommuninvånarnas besök på olika graders skötar- och läkarmottagningar och dygnet runt sjukvård på hälsovårdscentralen. Verksamheten grundar sig i huvudsak på lagstiftning som reglerar den kommunala hälso- och sjukvården.""","This service subclass contains services that meet the following definition of primary care: “The task of primary health care is to maintain, support and improve citizens’ health, well-being, and work and functional ability by offering health and medical care services. The main service forms are visits made by municipal residents to the surgeries of nurses and doctors at different levels and 24-hour medical care at health centres. The activities are primarily based on the legislation that regulates municipal health care.”"
v1040,P5.2,Neuvolapalvelut,Rådgivningstjänster,Health clinic services,Tässä palvelualaluokassa käsitellään kuntien lakisääteisesti järjestämiä äitiys-ja lastenneuvolapalveluja eri toimintamuotoineen.,I denna serviceundergrupp behandlas kommunens lagstadgade moderskaps- och barnrådgivningstjänster med olika verksamhetsformer.,This service subclass contains the statutory maternity and child health clinic services organised by the municipalities and the clinics’ various forms of activities.
v1041,P5.3,Rokotukset,Vaccinationer,Vaccinations,"Tässä palvelualaluokassa käsitellään rokotuksia perusterveydenhuollon palveluna, kansanterveyteen kuuluvina ohjelmina että kansalaisen terveyshistoriaan kuuluvana asiana.","I denna serviceundergrupp behandlas vaccinationer som primärvårdstjänster, program som hör till folkhälsan och som ett ärende som hör till medborgarens hälsohistoria.","This service subclass approaches vaccinations as a primary health care service, national health programmes and an issue relevant to a citizen's health history."
